Run_s,collection_day_s,description_s,nutrition_calcium_s,nutrition_calorie_s,nutrition_carb_s,nutrition_cholesterol_s,nutrition_fat_s,nutrition_fiber_s,nutrition_protein_s,nutrition_satfat_s,nutrition_sodium_s,nutrition_sugar_s
ERR531507,9,-100,653.8799963,2051.446979,350.0630217,143.3444398,35.38808296,27.86851889,93.57291859,11.64235499,2059.846136,110.5919975
ERR531508,279,-100,0,0,0,0,0,0,0,0,0,0
ERR531509,252,-101,0,0,0,0,0,0,0,0,0,0
ERR531510,60,-200,0,0,0,0,0,0,0,0,0,0
ERR531511,24,-200,0,0,0,0,0,0,0,0,0,0
ERR531512,296,-101,0,0,0,0,0,0,0,0,0,0
ERR531513,53,-100,896.2907915,3937.334086,360.670454,262,138.6471733,13.34123385,90.71843377,39.33075629,5119.126942,173.8000011
ERR531514,331,-101,0,0,0,0,0,0,0,0,0,0
ERR531515,295,-101,0,0,0,0,0,0,0,0,0,0
ERR531516,57,-101,532.8280015,2057.824014,270.0993611,203.3099999,71.88975986,4.876199991,83.04268016,19.796736,2464.591999,93.8311609
ERR531517,115,-200,0,0,0,0,0,0,0,0,0,0
ERR531518,193,-200,0,0,0,0,0,0,0,0,0,0
ERR531519,82,-101,0,0,0,0,0,0,0,0,0,0
ERR531520,221,-101,0,0,0,0,0,0,0,0,0,0
ERR531521,61,-200,0,0,0,0,0,0,0,0,0,0
ERR531522,1,-200,0,0,0,0,0,0,0,0,0,0
ERR531523,150,-200,0,0,0,0,0,0,0,0,0,0
ERR531524,90,-101,0,0,0,0,0,0,0,0,0,0
ERR531525,143,-100,1051.600001,1758.688736,267.1650829,265.830986,53.80240002,5.792000055,54.97879207,23.8214601,1363.83071,135.3029437
ERR531526,204,-100,0,0,0,0,0,0,0,0,0,0
ERR531527,343,-101,0,0,0,0,0,0,0,0,0,0
ERR531528,358,-101,0,0,0,0,0,0,0,0,0,0
ERR531529,231,-200,0,0,0,0,0,0,0,0,0,0
ERR531530,196,-100,309.79,2745.570017,333.9950018,375.2200012,93.6879999,4.264000058,109.8591986,25.72211997,3358.489975,87.65800001
ERR531531,212,-100,0,0,0,0,0,0,0,0,0,0
ERR531532,53,-101,896.2907915,3937.334086,360.670454,262,138.6471733,13.34123385,90.71843377,39.33075629,5119.126942,173.8000011
ERR531533,16,-100,782.3399973,3617.739985,510.4579973,410.8799992,113.9181991,29.472,147.2521997,41.29245995,5347.079994,142.717999
ERR531534,169,-100,700.54,1301.670003,199.8886032,44.40000153,42.89979985,2.282000065,34.61460114,17.00640012,1877.390007,105.079
ERR531535,101,-101,0,0,0,0,0,0,0,0,0,0
ERR531536,152,-100,1320.54,2057.770009,305.5086021,142.5,65.48980001,19.63200003,63.53460026,23.6264,2769.82,127.079
ERR531537,193,-100,278.8449996,1504.408898,245.9887922,0,36.87256046,37.21918626,38.61633313,8.524570037,2333.966122,81.35752662
ERR531538,167,-100,734.4899998,1758.595006,272.5860004,64.5,60.02490038,5.955000043,41.39990044,21.18024001,1379.615,177.34125
ERR531539,272,-101,0,0,0,0,0,0,0,0,0,0
